"(PDH-CSV 4.0) (Pacific Daylight Time)(420)","\\GEORGIS1\PMU Counters(3)\Taken Instructions Retired","\\GEORGIS1\PMU Counters(3)\Mispredicted Taken Instructions Retired","\\GEORGIS1\PMU Counters(3)\Instructions Retired","\\GEORGIS1\PMU Counters(3)\Mispredicted Instructions Retired","\\GEORGIS1\PMU Counters(2)\Taken Instructions Retired","\\GEORGIS1\PMU Counters(2)\Mispredicted Taken Instructions Retired","\\GEORGIS1\PMU Counters(2)\Instructions Retired","\\GEORGIS1\PMU Counters(2)\Mispredicted Instructions Retired","\\GEORGIS1\PMU Counters(1)\Taken Instructions Retired","\\GEORGIS1\PMU Counters(1)\Mispredicted Taken Instructions Retired","\\GEORGIS1\PMU Counters(1)\Instructions Retired","\\GEORGIS1\PMU Counters(1)\Mispredicted Instructions Retired","\\GEORGIS1\PMU Counters(0)\Taken Instructions Retired","\\GEORGIS1\PMU Counters(0)\Mispredicted Taken Instructions Retired","\\GEORGIS1\PMU Counters(0)\Instructions Retired","\\GEORGIS1\PMU Counters(0)\Mispredicted Instructions Retired"
"04/23/2018 19:44:46.425","7791525","256795","14020194","415392","15016317","421228","28264422","725251","11794120","362580","22928409","569005","7646250","376920","15015204","596028"
"04/23/2018 19:44:47.425","10566497","365698","21111687","539309","12055740","427250","24375622","614762","12987812","580483","27501483","802980","10617156","645828","22575307","866924"
"04/23/2018 19:44:48.425","7144038","434054","15296465","640886","15520413","810020","32861256","1207094","13679676","654513","28207079","926033","10085664","696455","20786083","995665"
"04/23/2018 19:44:49.425","1422337","146623","3022480","181616","3487035","257230","7200269","358681","3868108","167971","6982548","230961","2298059","368144","4972868","445498"
"04/23/2018 19:44:50.425","571940","72012","1297078","89749","1690496","145247","3552995","182645","2625072","81272","4350444","114499","1185309","175126","2503011","208708"
"04/23/2018 19:44:51.425","378448","30087","827703","39339","1979141","52798","3144021","75374","167996","22243","365175","25710","570829","40580","1207042","51431"
"04/23/2018 19:44:52.425","8915285","486074","18209679","790879","7898163","458263","16109693","734903","8197547","378897","16527438","637718","13649784","526902","26668878","926016"
"04/23/2018 19:44:53.425","3638460","82836","6321785","145114","1165791","94983","2446012","149799","1205789","92983","2933328","136575","1521750","102941","3276241","178016"
"04/23/2018 19:44:54.425","2307041","40950","3726868","64776","329666","46666","715756","56869","309746","24755","632977","29787","488675","39928","1059935","50168"
"04/23/2018 19:44:55.425","2109305","38673","3376668","60669","310593","46032","669811","55983","691676","26211","1148698","32653","496280","42984","1078967","53528"
"04/23/2018 19:44:56.425","510774","33945","1195402","44876","2113736","48993","3328653","71747","201829","26929","433690","31751","187508","20729","381867","24682"
"04/23/2018 19:44:57.425","319173","27787","690907","36257","373723","47183","816738","58158","422450","40421","922265","49782","1941966","24339","3048239","41477"
"04/23/2018 19:44:58.425","302479","28713","655709","37240","3233979","78720","5325138","113142","260796","27270","546391","33250","273231","29520","608319","35550"
"04/23/2018 19:44:59.425","286929","26265","624427","34227","358141","46652","803374","57288","1832756","27382","2761367","41979","220325","21388","469542","25646"
"04/23/2018 19:45:00.425","402550","35537","853073","45923","2065768","52961","3298298","75822","172146","24645","365354","28769","477746","40013","1035642","50045"
"04/23/2018 19:45:01.426","2139149","134909","4473829","198140","2240413","119714","4996231","170610","1558078","84802","3593293","122268","4075539","149699","7668376","213340"
"04/23/2018 19:45:02.426","2246007","165172","4409409","220689","6712570","163331","11198059","252509","2984575","100249","5602633","138940","4032127","277366","7885831","352279"
"04/23/2018 19:45:03.426","4809923","334107","10769555","478849","5287156","306812","10887592","457354","9552222","270560","19921508","408794","14234162","389786","27382388","578869"
"04/23/2018 19:45:04.426","1454227","80307","2692571","104981","2669800","79972","4547816","115689","355976","43586","782337","53116","612402","79147","1312978","96952"
"04/23/2018 19:45:05.426","2139569","162278","4807642","219416","3322860","146908","7548626","208784","4544511","149069","9607983","220385","2005947","201518","4205800","257649"
"04/23/2018 19:45:06.426","3032838","125320","5366059","173023","2407418","149361","4869202","205532","2189580","129552","4748436","176710","1995739","179888","4619329","229719"
"04/23/2018 19:45:07.426","3201842","102940","5377448","143017","1621471","96490","3145622","128059","1044552","80078","2177545","103572","950855","137061","2112267","167859"
"04/23/2018 19:45:08.426","3413454","136766","5929665","183998","1748726","106098","3399130","139190","1638119","77921","3123434","103297","2221442","188582","4448888","237032"
"04/23/2018 19:45:09.426","3698988","146983","6852166","211956","937078","62989","2037217","87058","289740","40216","655685","51921","1053429","93876","2367760","117690"
"04/23/2018 19:45:10.426","1420296","116124","3114719","164480","3120522","107123","5526455","165623","1101752","85449","2413737","115890","757715","103533","1746666","128589"
"04/23/2018 19:45:11.426","3609895","273440","6767160","357892","2613582","270538","5851854","351727","1923134","195458","4266118","255564","2114876","381457","4669928","463802"
"04/23/2018 19:45:12.426","2056809","140135","4058000","179633","4377052","151380","7936122","215342","3453572","200311","7511418","266280","1433327","170607","3165453","211705"
"04/23/2018 19:45:13.426","3676284","263461","8143927","362711","3968077","210305","7356833","299396","3599795","170995","6992786","238514","2165069","280540","5010077","355502"
"04/23/2018 19:45:14.426","3835347","113792","7120105","154634","6511895","128442","15016895","165333","5322601","96378","12074670","124725","2544704","167091","5254548","208408"
"04/23/2018 19:45:15.426","20545875","197421","46990023","270738","13177631","225722","30060219","314248","8289235","256376","17316902","357347","9742793","348837","22402712","458303"
"04/23/2018 19:45:16.426","15759981","134828","36140390","178736","10467746","199821","24031130","263096","8803192","183968","20354028","244820","10317259","253965","22630215","338710"
"04/23/2018 19:45:17.426","12859111","110667","29511371","146813","8035053","160390","18418647","210648","4688736","121937","10827861","162944","6311396","210720","13249316","273295"
"04/23/2018 19:45:18.426","18229093","81376","40317369","119953","5251589","135754","11970731","177360","6359654","108307","14110977","143721","5083015","183850","11784724","231573"
"04/23/2018 19:45:19.426","11651345","114840","25226294","160514","12358525","155382","28405110","201214","10290150","143732","22771722","191515","5749208","233841","13208738","289584"
"04/23/2018 19:45:20.426","1901839","169541","4297136","227917","3282377","245562","7232817","330746","1605330","133390","3527502","183337","4879408","290314","9159082","402735"
"04/23/2018 19:45:21.426","6572629","139051","13097521","198553","9931097","235953","15257861","361191","5859713","147751","9283195","228535","5594338","195292","10210666","252871"
"04/23/2018 19:45:22.426","2363667","158045","5264462","223037","2090624","160263","4530395","215863","2590877","95481","4497080","134572","2187881","201587","4808983","263494"
"04/23/2018 19:45:23.426","1148072","145024","2583962","184584","3822655","261475","7288982","340540","1996481","140526","3947363","185127","1881263","279515","4032806","344000"
"04/23/2018 19:45:24.426","1049996","101464","2316336","131336","1739590","183565","3766532","231907","2859354","106103","5124447","146353","2067813","208607","4092431","258073"
"04/23/2018 19:45:25.426","2313838","164857","5152062","229525","2686717","221100","5715372","294246","1513881","125055","3390880","173414","4731594","245962","9278305","341116"
"04/23/2018 19:45:26.426","7015365","340484","15716123","504978","9599430","530246","22136411","776472","7933926","439546","18308612","650359","10989772","561742","23359462","828834"
"04/23/2018 19:45:27.426","623540","52498","1358840","71463","881224","88021","2170897","110332","2349086","69990","3976263","100309","759499","75752","1496798","92849"
"04/23/2018 19:45:28.426","2718060","68245","4493971","99254","1086146","92458","2168450","115667","1498157","72003","2845107","94479","810289","112844","1795628","138944"
"04/23/2018 19:45:29.426","7942222","325553","17994678","409032","10429723","339522","22609656","454489","1511787","80176","3077385","104991","9039110","377177","20602154","497394"
"04/23/2018 19:45:30.426","546958","55821","1189044","70829","2720529","100022","4517898","135219","1465050","60000","2770634","78184","589524","97360","1295790","117090"
"04/23/2018 19:45:31.426","1417291","111594","3091029","157128","3270192","141299","5964343","201961","662456","65672","1431411","90665","2306722","190942","5218484","253334"
"04/23/2018 19:45:32.426","2024128","194509","4436546","263294","3390909","275739","7326045","364172","3069821","208831","6683602","282686","3650929","325005","6766161","404008"
"04/23/2018 19:45:33.426","3194867","123538","6015060","173737","2083680","187525","4574374","242434","2917043","150947","6032443","203863","1325947","193535","2857282","234885"
"04/23/2018 19:45:34.426","2417194","88384","4139737","125456","1593335","148404","3481184","197209","1933331","101669","3743573","140516","1296926","154180","2813210","203180"
"04/23/2018 19:45:35.426","580452","58887","1305498","76322","612003","79227","1359227","97349","764943","72019","1870506","89592","2255868","102383","3734073","133408"
"04/23/2018 19:45:36.426","1753848","92783","3941301","134158","3021467","116850","5277896","165437","1163215","84269","2502707","117988","1771962","122881","3782505","160554"
"04/23/2018 19:45:37.426","519548","48470","1145552","61365","2746898","101339","4760345","139005","1379608","58644","3455919","81925","936654","105935","2121147","130701"
"04/23/2018 19:45:38.426","900372","78221","1983725","100047","2744656","117229","4804062","156213","675194","67301","1453711","84128","1101519","142211","2361034","173671"
"04/23/2018 19:45:39.426","12710718","540669","28937081","863032","13475743","552783","29376983","886450","10408414","488310","23835630","773089","11998689","612158","27743336","947305"
"04/23/2018 19:45:40.426","4028296","182586","8759213","285509","7675134","281815","15570840","445638","5149872","223154","11315535","347997","3789594","213497","7941666","302812"
"04/23/2018 19:45:41.426","433385","51279","964895","65625","2428995","101437","4211719","134970","1134793","63902","2246631","82467","729924","92321","1672087","113300"
"04/23/2018 19:45:42.426","2776297","174941","6401310","245567","3111896","153302","5549673","208458","2043197","111548","4086684","154797","2056295","202713","4538745","266909"
"04/23/2018 19:45:43.426","539370","46374","1185219","59947","2409878","98647","4098346","133407","451413","47150","967471","58737","799403","91973","1761031","113412"
"04/23/2018 19:45:44.426","901385","97938","1985160","124524","2794703","121159","4787671","161882","1810501","83073","3505444","113778","1867215","152765","3638509","195481"
"04/23/2018 19:45:45.426","861008","84311","1835824","107626","1253114","146546","2784569","182164","1047602","88244","2329227","113536","2717167","153228","4506799","195544"
"04/23/2018 19:45:46.426","3503113","137246","6252417","195700","2100269","187036","4653638","245237","2921873","145998","5937236","202225","2711016","241505","5811977","314571"
"04/23/2018 19:45:47.426","2295841","57946","3786991","85114","803696","95161","1774661","120681","2176846","81765","4996091","115511","1125400","100893","2198365","125408"
"04/23/2018 19:45:48.426","2259248","63868","3664409","92722","1034852","110073","2252348","139286","715453","69965","1583608","87643","971085","123833","2077500","151373"
"04/23/2018 19:45:49.426","3116924","177358","6598731","248266","1222291","130512","2743875","172223","2284841","91856","4495424","131865","3048826","147374","5319177","205433"
"04/23/2018 19:45:50.426","2790319","106348","4864242","156148","4611513","183304","9298421","267386","1807998","87251","4468146","116137","1059487","148729","2414682","189823"
"04/23/2018 19:45:51.426","4615414","145059","8225392","214237","1409319","161488","3168007","202933","1532789","123808","3246242","161949","1922580","259192","4110008","315697"
"04/23/2018 19:45:52.426","3081366","59918","4957126","90019","857923","86468","1950350","109374","695253","61931","1504980","78468","495031","84308","1095575","101322"
"04/23/2018 19:45:53.427","2689985","104137","4592898","142357","1524301","156570","3382967","197929","1159021","102336","2519450","131206","1166489","194181","2544439","232563"
"04/23/2018 19:45:54.427","2061012","144586","4277463","188218","2091442","186690","4613547","237906","5682361","202252","10283306","282157","1360994","214927","2973401","259640"
"04/23/2018 19:45:55.427","817877","96917","1792831","119058","3285696","161023","5928614","211206","1238130","116802","2612523","151622","2260691","219894","4459935","275029"
"04/23/2018 19:45:56.427","2591000","145555","5554975","200279","1995972","172447","4395189","226238","1331264","115035","2917153","156586","3977059","281186","7407508","368559"
"04/23/2018 19:45:57.427","3030844","171253","6216675","231632","3230185","260648","7578156","351472","4506809","187932","8876589","274531","4282152","357607","9143228","478380"
"04/23/2018 19:45:58.427","723104","81914","1584628","102457","1419446","142095","3139027","177201","3408194","109781","6012481","158336","1262358","202164","2745993","250685"
"04/23/2018 19:45:59.427","2561788","61911","4445722","86048","974126","73313","2058077","92392","2562047","57539","4153523","87025","1056396","142686","2384924","174135"
"04/23/2018 19:46:00.427","640979","73114","1413468","90654","966205","110843","2189268","136018","1076803","88381","2324685","117739","4013708","184098","6798050","241064"
"04/23/2018 19:46:01.427","1526626","107546","3430573","142770","2326768","125035","4887195","160938","3601163","101239","6630294","148385","2218244","207049","4838256","260655"
"04/23/2018 19:46:02.427","3695374","151475","6632010","217420","2016161","182986","4379510","247368","1079883","101460","2365762","138271","2248189","271294","4971965","345560"
"04/23/2018 19:46:03.427","2754474","107221","4715183","143387","1536408","156150","3347072","195432","2377436","163637","4876041","214533","1630540","217887","3444357","271113"
"04/23/2018 19:46:04.427","1954958","146301","4395026","195145","1466389","152598","3284721","202875","3409233","148171","6174015","211917","3391533","230979","6956973","309758"
"04/23/2018 19:46:05.428","1153850","103150","2784737","132074","2103846","132661","4933882","172597","1829237","138118","4456975","184901","3916493","196723","7532695","264328"
"04/23/2018 19:46:06.428","1598813","106153","3400333","138846","3021338","154965","5268621","202174","1474575","137311","3079989","174816","2581419","210680","5098123","266844"
"04/23/2018 19:46:07.428","436168","46099","931025","58453","3173068","96231","5230162","129934","356422","37944","762033","46538","945258","121721","2093897","149611"
"04/23/2018 19:46:08.428","2360352","64214","3818056","92813","633454","80469","1364434","99830","611224","51694","1319545","66130","948262","109461","2089056","134933"
"04/23/2018 19:46:09.428","1488525","53295","2791430","73159","553051","75410","1228792","93128","393336","45593","854557","56938","3155696","115830","5333805","158042"
"04/23/2018 19:46:10.428","792728","91926","1769842","116560","1902091","123304","3699179","156491","2666264","90156","4472437","126203","1949290","173563","3839896","214973"
"04/23/2018 19:46:11.428","406223","40469","882410","52103","2262757","81734","3713275","108979","241941","27784","511317","33316","1258566","72967","2321399","92711"
"04/23/2018 19:46:12.428","576445","58118","1276515","74111","475714","69531","1050078","84332","2257848","57688","3674505","82005","631868","83404","1432269","101460"
"04/23/2018 19:46:13.428","867929","78368","1973174","99642","842147","107318","1919509","132258","781859","67344","1701555","87007","3656353","184264","6367038","240352"
"04/23/2018 19:46:14.428","8990999","443664","18517172","749331","10071605","567880","22158646","880787","6115696","267420","12838595","444837","13171360","573586","30172030","919997"
"04/23/2018 19:46:15.428","1553090","81368","2976613","107504","1510650","132216","3225763","177359","2282673","65695","3678251","92158","2239453","178796","4489960","225621"
"04/23/2018 19:46:16.428","2495603","80956","4854720","122487","2526459","76561","4206566","108303","391694","48932","857117","60605","749366","81514","1573012","103647"
"04/23/2018 19:46:17.428","800306","88921","1809013","115004","1394269","154131","3093548","194186","1370323","101075","2925735","132265","3002131","183964","5200081","232865"
"04/23/2018 19:46:18.428","890946","98111","1968860","125209","3396142","163091","6181394","216203","4681701","173997","9327360","233059","1597857","192612","3504245","238429"
"04/23/2018 19:46:19.428","779151","81173","1711373","103815","1026189","116261","2216555","144604","3020975","105178","5295604","145114","990337","126457","2208442","154189"
"04/23/2018 19:46:20.428","13484787","78622","30833621","105464","6412780","122489","14741440","162690","8641124","120518","17739180","173666","6174106","153626","14246894","197423"
"04/23/2018 19:46:21.428","12713381","110144","29160945","147419","6621469","177105","15187984","237140","9025887","205153","18709842","283866","6087463","301283","13727608","382095"
"04/23/2018 19:46:22.428","17645101","145257","40489827","198026","15454347","185353","35567390","243766","9858469","222138","20981889","317454","7352590","308629","16504456","402027"
"04/23/2018 19:46:23.428","10639529","146215","24393567","189453","12371451","224469","27993986","295912","7894884","212958","16223873","295699","5449427","314522","12594824","393324"
"04/23/2018 19:46:24.428","13076812","151673","29931684","202265","15898140","191408","35117436","266238","9690163","188220","22114799","254389","9593287","284617","22187394","373669"
"04/23/2018 19:46:25.428","7372163","105511","16706145","139202","8287940","199259","17598300","266711","5373573","195421","11944921","259901","6215473","217827","12311327","296270"
"04/23/2018 19:46:26.429","1303980","113348","2727399","145080","1706373","178622","3778576","223574","3305448","134474","5894769","183373","1951718","203136","3855336","247722"
"04/23/2018 19:46:27.429","890302","105631","2045387","130694","1704945","166965","3801965","210929","3718155","146391","6663449","201371","1207162","205830","2699109","248101"
"04/23/2018 19:46:28.429","3101286","94638","5126954","130116","1214489","119390","2660160","150087","2174780","130418","4235456","172812","1344146","186268","2945372","230551"
"04/23/2018 19:46:29.429","2029308","110864","3900543","155371","1382752","129632","3072348","177989","3473314","133149","6341042","187894","2016603","206779","4554265","270927"
"04/23/2018 19:46:30.429","2526661","59565","4155290","87245","1316225","64565","2474055","83768","742550","66440","1700500","84158","751352","93006","1751545","117590"
"04/23/2018 19:46:31.429","727910","72118","1580437","91680","584763","66116","1310560","81818","2467472","68993","3996894","97809","884389","116182","2027577","147031"
"04/23/2018 19:46:32.429","1616966","114715","3581583","161339","1875824","118169","3841953","171716","2214468","145236","4952580","205749","4004322","168729","7143850","261473"
"04/23/2018 19:46:33.429","443292","47933","974333","58757","773028","66391","1756850","83303","2155074","63358","3496385","89933","525048","72958","1153480","90430"
"04/23/2018 19:46:34.429","2637048","158940","5917854","225536","1255496","121509","2761605","172432","3357324","135020","6074566","199635","1301514","147742","2968155","193671"
"04/23/2018 19:46:35.429","478738","49864","1009181","63017","2190356","58036","3478568","81002","505891","65893","1130437","84010","1577643","99566","3048005","129278"
"04/23/2018 19:46:36.429","784316","70751","1705983","90783","2626135","79136","4258530","112392","552031","69326","1172747","87033","638364","84391","1381792","105822"
"04/23/2018 19:46:37.429","2143620","145629","4828270","205492","1241431","134403","2761748","181539","3931843","128213","7303428","191615","1460376","164879","3199646","218430"
"04/23/2018 19:46:38.429","2431224","64492","4097435","94976","979921","86879","1913813","115851","566031","38537","1186613","48742","823796","99602","1786828","129110"
"04/23/2018 19:46:39.429","2190015","200060","4787440","269871","4511009","327851","9320064","457744","5337491","228065","10140937","336293","3807029","375357","8021474","486000"
"04/23/2018 19:46:40.429","13824709","708842","32082067","1082981","20028363","883922","45073656","1344041","19337636","776450","42446469","1206403","18470738","900040","39948453","1346045"
"04/23/2018 19:46:41.416","5274295","187643","9252164","295586","4233386","260432","8409237","358387","4665099","221845","9131700","309282","8124673","336165","16509646","457601"
"04/23/2018 19:46:42.419","7342125","363220","14976093","555618","10734243","547930","22578973","816407","10019256","492580","20248648","732973","8029393","627705","17438455","884017"
"04/23/2018 19:46:43.405","11078820","286258","23094309","453901","4604237","282063","9842075","415964","3514402","201070","7192923","286643","3144488","314180","7014278","448775"
"04/23/2018 19:46:44.421","2874548","140293","5132740","188213","2756104","245302","5981756","313166","1858080","142599","3962497","185972","2204778","307032","4746132","368928"
"04/23/2018 19:46:45.421","4564035","308120","10022242","421147","9412186","410053","20236918","564561","4880833","260626","10707537","359672","9564339","455889","18720030","611663"
"04/23/2018 19:46:46.421","545379","60562","1234850","76852","1239163","120232","2683187","154253","728598","61559","1461755","82471","2719733","142778","4731637","181676"
"04/23/2018 19:46:47.420","2355051","138246","5186698","206546","2954483","249581","6730238","348424","2805310","171295","6100526","242556","4748323","245875","9147786","338766"
"04/23/2018 19:46:48.421","2764413","218460","6481406","288715","7639450","409598","15650914","544117","4678876","313461","10368060","414491","4300458","464385","9491664","574013"
"04/23/2018 19:46:49.421","1201125","112941","2714840","149193","3593930","226906","7168930","297427","4217260","163595","8345309","230988","2307047","239113","4908510","297584"
"04/23/2018 19:46:50.421","11734517","229285","24738441","330452","7842732","328686","16190321","444401","8860838","269894","16988472","400097","10028455","440226","21213751","574771"
"04/23/2018 19:46:51.421","3439022","184378","6300747","242807","3932071","265436","8111525","343281","3197242","233867","6839669","312188","2585366","400824","5573171","485041"
"04/23/2018 19:46:52.421","1903331","148934","4378134","205769","2814472","224866","6298942","301046","5487625","188128","10007717","273313","2201201","293415","4854095","367959"
"04/23/2018 19:46:53.421","1894392","104415","4591829","140078","953331","89980","2120975","112845","2589655","63392","4300204","95085","1197359","185161","2623636","225870"
"04/23/2018 19:46:54.421","1959069","192523","4479924","250658","2380217","237954","5353886","305204","4126724","177609","7921858","249763","3759362","358114","8034221","457343"
"04/23/2018 19:46:55.422","1203662","120458","2514122","153701","2586410","241853","5702914","307689","1643919","136892","3606898","178254","4461625","286716","7862940","363049"
"04/23/2018 19:46:56.422","1341025","171694","2908281","215643","3572546","271118","7686134","355990","2713189","163321","5609700","219093","4631508","361942","8560721","476723"
"04/23/2018 19:46:57.422","1661379","141591","3406576","187869","3930847","142674","7083899","212843","2822406","169155","5428592","229842","888711","143478","1912652","172717"
"04/23/2018 19:46:58.422","1651136","98120","3639423","123787","2581381","72997","4269269","105304","514594","57158","1110742","70202","1195062","143645","2595460","177308"
"04/23/2018 19:46:59.422","674220","88929","1504708","109668","625572","69341","1400847","86670","588828","54586","1254285","66585","3295884","113401","5423007","152433"
"04/23/2018 19:47:00.422","3275624","156094","5617132","230846","1620540","141354","3583196","185930","1795761","140427","3713754","182875","1032268","130064","2075670","160131"
"04/23/2018 19:47:01.422","4120813","144630","7846057","207223","2346144","172754","5270748","240952","2113284","105958","4596702","152831","3240278","221723","7007481","302598"
"04/23/2018 19:47:02.422","1694252","202370","3745380","252786","2354430","196930","5219201","260997","3395034","190544","6915601","253862","4127024","318727","7623454","395525"
"04/23/2018 19:47:03.422","1383231","140610","2989057","175561","992019","98518","2226016","128999","2422799","64452","3952968","91911","890391","154132","1995530","182618"
