"(PDH-CSV 4.0) (Pacific Daylight Time)(420)","\\GEORGIS1\PMU Counters(3)\Taken Instructions Retired","\\GEORGIS1\PMU Counters(3)\Mispredicted Taken Instructions Retired","\\GEORGIS1\PMU Counters(3)\Instructions Retired","\\GEORGIS1\PMU Counters(3)\Mispredicted Instructions Retired","\\GEORGIS1\PMU Counters(2)\Taken Instructions Retired","\\GEORGIS1\PMU Counters(2)\Mispredicted Taken Instructions Retired","\\GEORGIS1\PMU Counters(2)\Instructions Retired","\\GEORGIS1\PMU Counters(2)\Mispredicted Instructions Retired","\\GEORGIS1\PMU Counters(1)\Taken Instructions Retired","\\GEORGIS1\PMU Counters(1)\Mispredicted Taken Instructions Retired","\\GEORGIS1\PMU Counters(1)\Instructions Retired","\\GEORGIS1\PMU Counters(1)\Mispredicted Instructions Retired","\\GEORGIS1\PMU Counters(0)\Taken Instructions Retired","\\GEORGIS1\PMU Counters(0)\Mispredicted Taken Instructions Retired","\\GEORGIS1\PMU Counters(0)\Instructions Retired","\\GEORGIS1\PMU Counters(0)\Mispredicted Instructions Retired"
"04/23/2018 19:42:46.417","599928","66527","1360948","83751","418114","47726","931220","57830","2248341","64602","3790705","91385","998270","106435","2271402","133725"
"04/23/2018 19:42:47.417","516750","49766","1143401","61625","522895","51071","1160638","64560","2080751","65965","3412290","93534","569701","76631","1275944","96347"
"04/23/2018 19:42:48.417","1408325","58232","2669074","76043","528128","56700","1199208","69775","2488232","91298","4220512","125285","816582","91410","1750737","113150"
"04/23/2018 19:42:49.417","1324087","80431","2830730","112786","1221577","82303","2685316","113159","2854580","97880","4925011","143118","1728436","140257","3925770","187612"
"04/23/2018 19:42:50.417","1768233","73242","4257952","101997","333637","43292","744309","51890","2215393","59797","3557687","85700","736114","78845","1716353","99944"
"04/23/2018 19:42:51.417","2300073","100268","4465952","136201","1018471","86810","2085062","113027","3412766","104874","5751776","149659","911595","121075","1953865","149719"
"04/23/2018 19:42:52.417","1545312","84209","2879857","112050","2633795","100123","4825227","133663","6038156","194745","10859207","286652","3303429","190238","6680534","264658"
"04/23/2018 19:42:53.417","33478263","375067","59782682","628023","6635452","365551","14359342","581740","46571951","438103","81605043","791921","32506538","324322","57615215","565736"
"04/23/2018 19:42:54.417","47460541","1702546","92344483","3213428","106637337","1729180","189759125","3395604","43788507","1465422","83728306","2736614","32292012","1477774","64045350","2580523"
"04/23/2018 19:42:55.417","3532543","230149","6990035","344220","4873876","339492","10528131","516407","5654934","271742","12044797","434771","6684358","419739","12567601","627433"
"04/23/2018 19:42:56.417","14040335","533382","26915793","1017779","6216019","316228","12253208","548607","8660277","261835","16220317","433236","6046361","399805","12290732","640533"
"04/23/2018 19:42:57.417","1961926","147643","4190375","197529","3037752","193910","6522690","260110","6635056","208906","12186766","302412","2845258","262919","6161052","363884"
"04/23/2018 19:42:58.417","1965357","138152","3990533","176874","3983302","184624","7432166","252304","2039150","160555","4351905","212840","2144063","282068","4631093","354450"
"04/23/2018 19:42:59.417","899220","81973","1996213","103396","683184","83609","1528566","102396","2934757","82701","5132729","120262","1079155","162855","2300059","198779"
"04/23/2018 19:43:00.417","865910","106037","1928817","130717","2954642","185878","6072837","241960","3182007","132847","5698254","184470","1972314","260708","4262938","316379"
"04/23/2018 19:43:01.417","3404935","178610","7748482","259232","3407715","183448","7186961","262269","3858404","137470","7065539","205935","2429512","259533","5245775","338237"
"04/23/2018 19:43:02.417","1328568","79060","2917544","100358","2226754","139844","5017107","179611","1087293","114396","2437481","145339","4730665","214233","8719798","291729"
"04/23/2018 19:43:03.417","10548090","219240","23677645","308721","19631744","218561","45246524","315456","11243654","261417","24324083","372309","13568450","306440","31247630","408894"
"04/23/2018 19:43:04.417","14265970","129181","32732971","172608","10111814","166282","23522702","224683","13099133","201230","28933286","275056","10203174","232343","21987880","318285"
"04/23/2018 19:43:05.417","8019741","124534","17052716","170456","11680092","167529","27641977","225984","9284964","160550","21673750","221538","6867184","179883","16179448","241565"
"04/23/2018 19:43:06.417","9946675","136777","22810465","182140","11802505","207385","27112637","274715","9760060","240953","22172861","318044","9717259","325187","20734144","427424"
"04/23/2018 19:43:07.418","18415267","78507","42261393","106730","10603729","128050","23679767","174845","8236656","150361","17567002","205066","6383434","188658","14668918","248887"
"04/23/2018 19:43:08.418","907211","99861","1968859","121563","1034445","91580","2203922","115815","632967","60000","1374939","77042","2535022","142134","4343404","183082"
"04/23/2018 19:43:09.418","896445","97294","1984949","120922","851487","101114","1925789","122923","2969096","112222","5490802","154057","2695181","175403","4694922","226938"
"04/23/2018 19:43:10.418","679133","49976","1639362","65114","1709617","85350","3238987","119871","686175","60396","1497180","77743","2666626","141761","4666507","185639"
"04/23/2018 19:43:11.418","1289121","81746","3319043","122176","373206","45734","826366","55196","2019099","42326","3223240","64746","893236","110273","2032006","135768"
"04/23/2018 19:43:12.418","456013","54671","975966","67546","932677","85960","1961769","107360","490479","52080","1076928","67435","2872049","170419","5095268","220037"
"04/23/2018 19:43:13.418","1125508","132413","2636565","169922","1976819","193521","4563426","250223","1480190","124321","3304131","169433","4659935","307059","8587031","401908"
"04/23/2018 19:43:14.418","1892384","118904","3670692","152763","1563128","159777","3318450","198481","3295274","131939","5883685","185107","1441475","259507","3104100","315425"
"04/23/2018 19:43:15.418","698470","74776","1517141","93422","1350738","126562","2891783","159211","2954297","111008","5247668","157056","1046068","181539","2298400","220920"
"04/23/2018 19:43:16.418","1656206","72762","3261477","102729","3454056","112328","6070344","161384","1678507","70909","3217385","94636","678040","97215","1501307","119274"
"04/23/2018 19:43:17.418","1829050","121479","3703231","159595","4258273","165124","7440019","224788","2040950","96144","3873876","129142","1344462","213966","2964317","264010"
"04/23/2018 19:43:18.418","2199368","156586","4421847","202936","5803112","201487","10150705","271468","2305110","141789","4584208","186685","1861262","279385","4105636","343552"
"04/23/2018 19:43:19.419","2276264","67799","3757530","96192","1120479","120647","2467550","152052","750653","60699","1622367","77562","1687261","138235","3302615","170187"
"04/23/2018 19:43:20.419","787940","90812","1713834","113334","3447513","196483","7017836","255385","3608249","135606","6428997","185493","3961092","228667","7702691","291460"
"04/23/2018 19:43:21.419","8308909","48273","14314607","61934","293167","39360","647870","47012","2248636","61462","3632556","87799","883006","89344","1958895","112145"
"04/23/2018 19:43:22.419","365629","40167","788396","49704","494250","52379","1087098","62670","3044638","81213","5114972","116695","612205","80363","1353464","100198"
"04/23/2018 19:43:23.419","923662","124352","2084407","151218","1609484","152319","3600317","192575","2710284","205858","5794924","270794","3140790","246724","5767784","310210"
"04/23/2018 19:43:24.419","2176337","212107","4772639","290714","2307433","221180","5156538","296299","4428467","212055","7958355","287624","3402960","337394","7542680","445202"
"04/23/2018 19:43:25.419","4033490","141308","6795963","201431","1245368","128466","2810148","164047","1740452","146207","3787990","199925","1485687","204347","3180524","255016"
"04/23/2018 19:43:26.419","2260330","196976","5170332","262897","2159440","159289","4694471","220188","2241845","169349","4826521","236240","3715909","247818","6926636","333762"
"04/23/2018 19:43:27.420","845813","110153","1880729","135419","1574222","128103","3706183","163134","1380178","117297","3056721","154709","3295617","239883","5912975","304841"
"04/23/2018 19:43:28.420","500629","54567","1141519","68099","729563","68877","1543384","87991","677620","61176","1515359","83152","2529174","127855","4358141","168345"
"04/23/2018 19:43:29.420","325824","42350","722661","51052","389975","45787","856289","54933","1991427","33192","3194335","53438","644964","97146","1404505","118739"
